id	question	lang_region	q_id	question_en	answer_en	answer
ms-SG_001	Apakah akronim lazim untuk flat perumahan awam di mana majoriti rakyat Singapura tinggal?	ms-SG	001	What is the common acronym for public housing flats where most Singaporeans live?	HDB	HDB
ms-SG_002	Parti politik manakah yang telah menjadi parti pemerintah Singapura sejak tahun 1959?	ms-SG	002	Which political party has been Singapore's ruling party since 1959?	People's Action Party (PAP)	Parti Tindakan Rakyat (PAP)
ms-SG_003	Apakah maskot rasmi Singapura, iaitu makhluk mitos berkepala singa dan berbadan ikan?	ms-SG	003	What is Singapore's official mascot—a mythical creature with the head of a lion and the body of a fish?	Merlion	Merlion
ms-SG_004	Apakah nama lapangan terbang antarabangsa utama Singapura, yang sering diundi sebagai salah sebuah lapangan terbang yang terbaik di dunia?	ms-SG	004	What is the name of Singapore's main international airport, which is frequently voted as one of the best airports in the world?	Changi Airport	Lapangan Terbang Changi
ms-SG_005	Singapura menyambut Hari Kebangsaan setiap tahun pada bulan apa?	ms-SG	005	Singapore celebrates National Day every year in which month?	August	Ogos
ms-SG_006	"Pusat kesenian ikonik Singapura manakah yang lebih dikenali sebagai ""durian besar""?"	ms-SG	006	Which iconic Singaporean arts center is better known as the "big durian"?	Esplanade	Esplanade
ms-SG_007	Apakah mata wang rasmi Singapura?	ms-SG	007	What is Singapore's official currency?	Singapore Dollar	Dolar Singapura
ta-SG_008	சிங்கப்பூரர்களில் பெரும்பாலோர் வசிக்கும் பொது வீடுகளின் பொதுவான சுருக்கம் சொல் என்ன?	ta-SG	008	What is the common abbreviation for public housing units where most Singaporeans live?	HDB	எச்டிபி
ta-SG_009	1959ஆம் ஆண்டிலிருந்து சிங்கப்பூரின் ஆளுங்கட்சியாக இருக்கும் அரசியல் கட்சி எது?	ta-SG	009	Which political party has been Singapore's ruling party since 1959?	People's Action Party (PAP)	மக்கள் நடவடிக்கைக் கட்சி (PAP)
ta-SG_010	சிங்கத்தின் தலையும் மீனின் உடலும் கொண்ட ஒரு புராண உயிரினமான சிங்கப்பூரின் அதிகாரப்பூர்வ சின்னம் எது?	ta-SG	010	What is the official emblem of Singapore, a mythical creature with the head of a lion and the body of a fish?	Merlion	மெர்லியான்
ta-SG_011	உலகத்தில் ஆக சிறந்த விமான நிலையங்களில் ஒன்றாக அடிக்கடி வாகளிக்கபடும் சிங்கப்பூரின் முதன்மையான சர்வதேச விமான நிலையத்தின் பெயர் என்ன?	ta-SG	011	What is the name of Singapore's premier international airport, frequently ranked among the world's best?	Changi Airport	சாங்கி விமான நிலையம்
ta-SG_012	சிங்கப்பூர் ஒவ்வோர் ஆண்டும் எந்த மாதத்தில் தங்களது தேசிய தினத்தைக் கொண்டாடுகிறது?	ta-SG	012	Which month does Singapore celebrate its National Day each year?	August	ஆகஸ்ட்
ta-SG_013	பெரிய டூரியான்கள்' என்று பேச்சுவழக்கில் அழைக்கப்படும்  சிங்கப்பூரின் சின்னமான கலை மையத்தின் பெயர் என்ன?	ta-SG	013	What is the name of Singapore's iconic arts center, commonly known in colloquial speech as the "Big Domes"?	Esplanade	எஸ்பிளானட்
ta-SG_014	சிங்கப்பூரின் அதிகாரப்பூர்வ நாணயம் எது?	ta-SG	014	What is Singapore's official currency?	Singapore Dollar	சிங்கப்பூர் டாலர்
zh-SG_015	新加坡大多数国民居住的公共住房的通用简称是什么？	zh-SG	015	What is the common abbreviation for public housing, where most Singaporeans live?	HDB	组屋
zh-SG_016	自1959年以来，哪个政党一直是新加坡的执政党？	zh-SG	016	Since 1959, which political party has been Singapore's ruling party?	People's Action Party (PAP)	人民行动党（PAP）
zh-SG_017	新加坡的官方吉祥物是什么？它是一个狮头鱼身的神秘生物。	zh-SG	017	What is Singapore's official mascot? It’s a mysterious creature with the head of a lion and the body of a fish.	Merlion	鱼尾狮
zh-SG_018	新加坡主要的国际机场是哪个？它经常被评为世界最佳机场之一。	zh-SG	018	Which is Singapore's main international airport? It’s frequently ranked among the world’s best airports.	Changi Airport	樟宜机场
zh-SG_019	新加坡每年的国庆日在几月份？	zh-SG	019	What month is Singapore's National Day celebrated each year?	August	八月
zh-SG_020	新加坡哪个标志性的艺术中心被俗称为“大榴莲”？	zh-SG	020	Which iconic art center in Singapore is colloquially known as the "Big Durian"?	National Gallery Singapore	新加坡国家美术馆
zh-SG_021	新加坡的官方货币是什么？	zh-SG	021	What is Singapore's official currency?	Singapore Dollar	新加坡元
es-EC_022	¿Cuál es la ciudad más poblada de Ecuador?	es-EC	022	What is the most populous city in Ecuador?	Guayaquil	Guayaquil
es-EC_023	¿Cuántas provincias tiene Ecuador?	es-EC	023	How many provinces does Ecuador have?	24	24
es-EC_024	¿Cuál es el punto más alto de Ecuador y el más cercano al espacio exterior?	es-EC	024	What is the highest point in Ecuador and the closest to outer space?	Cotopaxi	Cotopaxi
es-EC_025	¿Qué nombre recibe Ecuador por su diversidad geográfica y cultural?	es-EC	025	What name does Ecuador receive due to its geographical and cultural diversity?	Mindo	Mindo
es-EC_026	¿Cuál es la moneda oficial de Ecuador desde el año 2000?	es-EC	026	What has been Ecuador's official currency since the year 2000?	US Dollar	Dólar estadounidense
es-EC_027	¿Qué lugar ecuatoriano es famoso por su biodiversidad y por haber inspirado la teoría de la evolución de Charles Darwin?	es-EC	027	Which Ecuadorian place is famous for its biodiversity and for having inspired Charles Darwin's theory of evolution?	Galapagos Islands	Islas Galápagos
es-EC_028	¿Qué ciudad ecuatoriana fue declarada Patrimonio Cultural de la Humanidad por la UNESCO en 1978?	es-EC	028	Which Ecuadorian city was declared a UNESCO World Heritage Site in 1978?	Quito	Quito
es-EC_029	¿Qué deportista ecuatoriano ganó la primera medalla olímpica de oro para el país?	es-EC	029	Which Ecuadorian athlete won the country's first Olympic gold medal?	Alexis Argüello	Alexis Argüello
en-GB_030	Which of these family holiday destinations is located in Cumbria?	en-GB	030	Which of these family holiday destinations is located in Cumbria?	Windermere	Windermere
en-GB_031	What is the name of Prince Harry’s wife?	en-GB	031	What is the name of Prince Harry’s wife?	Meghan	Meghan
en-GB_032	Which kids show has a blue boat as its symbol?	en-GB	032	Which kids show has a blue boat as its symbol?	Blue Peter	Blue Peter
en-GB_033	In which TV show would you expect to find Daleks and Cybermen?	en-GB	033	In which TV show would you expect to find Daleks and Cybermen?	Doctor Who	Doctor Who
en-GB_034	Which significant historical event took place in 1066?	en-GB	034	Which significant historical event took place in 1066?	The Norman Conquest of England	The Norman Conquest of England
zh-CN_035	1. 中国的国庆节是哪一天？	zh-CN	035	1. What is the date of China's National Day?	October 1	10月1日
zh-CN_036	2. 哪个动物被称为中国“国宝”？	zh-CN	036	2. Which animal is known as China's "national treasure"?	Panda	熊猫
zh-CN_037	3. 中国的首都是哪个城市？	zh-CN	037	3. Which city is the capital of China?	Beijing	北京
zh-CN_038	4. 中国的“端午节”通常是为了纪念哪位古代文学家？	zh-CN	038	4. Which ancient literary figure is China's "Dragon Boat Festival" traditionally held to commemorate?	Qu Yuan	屈原
zh-CN_039	5. 中国的“母亲河”是哪条河流？	zh-CN	039	5. Which river is known as China's "Mother River"?	Yangtze	长江
es-ES_040	¿Quién es el presidente de España?	es-ES	040	Who is the president of Spain?	Pedro Sánchez	Pedro Sánchez
es-ES_041	¿Cuál es el deporte más popular en España?	es-ES	041	What is the most popular sport in Spain?	Futbol	Fútbol
es-ES_042	¿Cuál es la obra literaria española más reconocida internacionalmente?	es-ES	042	What is the most internationally recognized Spanish literary work?	Don Quixote	Don Quijote
es-ES_043	¿Por qué monumento romano es conocida la ciudad de Segovia?	es-ES	043	What Roman monument is the city of Segovia known for?	Roman Aqueduct	Acueducto Romano
es-ES_044	¿Dónde se celebraron los Juegos Olímpicos de 1992 en España?	es-ES	044	Where were the 1992 Olympic Games held in Spain?	Barcelona	Barcelona
es-MX_045	¿Cuáles son los colores de la bandera del país?	es-MX	045	What are the colors of the country's flag?	Green white red	Verde blanco rojo
es-MX_046	¿Quién fue el autor del himno nacional?	es-MX	046	Who was the author of the national anthem?	Francisco González Bocanegra	Francisco González Bocanegra
es-MX_047	¿Cuál es la capital del país?	es-MX	047	What is the country's capital?	Mexico City	Ciudad de México
es-MX_048	¿Quién es el presidente del país?	es-MX	048	Who is the president of the country?	Andrés Manuel López Obrador	Andrés Manuel López Obrador
es-MX_049	¿Cual es la comida callejera más típica en el país?	es-MX	049	What is the most typical street food in the country?	Tacos al pastor	Tacos al pastor
id-ID_050	Siapa presiden pertama Indonesia?	id-ID	050	Who was the first president of Indonesia?	Sukarno	Sukarno
id-ID_051	Pada tanggal berapa Indonesia memproklamasikan kemerdekaan?	id-ID	051	On what date did Indonesia proclaim its independence?	August 17 1945	17 Agustus 1945
id-ID_052	Apa sebutan untuk kebiasaan masyarakat pulang ke kampung halamannya dalam rangka merayakan hari besar (seperti Idul Fitri, Natal, atau Tahun Baru Imlek)?	id-ID	052	What is the term for the community's custom of returning to their hometowns to celebrate major holidays (such as Eid al-Fitr, Christmas, or Chinese New Year)?	Homecoming	Kepulangan ke Rumah
id-ID_053	Apa nama minimarket yang umum ditemukan di banyak tempat di Indonesia?	id-ID	053	What is the name of the minimarket commonly found in many places across Indonesia?	Alfamart	Alfamart
id-ID_054	Apa nama acara pengibaran bendera yang secara rutin diikuti oleh siswa atau pegawai negeri?	id-ID	054	What is the name of the flag-raising ceremony routinely attended by students or civil servants?	Pekan Olahraga Nasional	Pekan Olahraga Nasional
ko-KR_055	한국에서 ‘소풍'하면 떠오르는 대표적인 간식/음식은?	ko-KR	055	What are the typical snacks or foods that come to mind when you think of "picnics" in Korea?	Kimchi, Japchae, Mandu, Tteokbokki, Bulgogi, Kimbab	김치, 잡채, 만두, 떡볶이, 불고기, 김밥
ko-KR_056	한국의 대표적인 전통 놀이가 아닌 것은?	ko-KR	056	Which of the following is NOT a representative traditional Korean game?	Chess	체스
ko-KR_057	한국 전래동화 속 나쁜 사람은?	ko-KR	057	Who is the bad character in Korean folktales?	Gwisin	귀신
ko-KR_058	한국에서 이삿날 먹는 음식으로 유명한 것은?	ko-KR	058	What is famously eaten on moving day in Korea?	Tteokguk	떡국
ko-KR_059	한국에서 고시 공부를 하는 사람들이 주로 모여 사는 지역은?	ko-KR	059	Which area in Korea do people who study for the civil service exams primarily live in?	Seongbuk-gu	성북구
el-GR_060	1. Ποιος είναι ο πρωθυπουργός της Ελλάδας	el-GR	060	1. Who is the Prime Minister of Greece	Kyriakos Mitsotakis	Κυριάκος Μητσοτάκης
el-GR_061	2. Ποιο είναι το πιο εμβληματικό αξιοθέατο στην καρδιά της Αθήνας και λειτουργεί ως σύμβολο της Ελλάδας;	el-GR	061	2. What is the most iconic landmark in the heart of Athens and serves as a symbol of Greece?	The Acropolis	Η Ακρόπολη
el-GR_062	3. Τι γιορταζουμε την 28η Οκτωβρίου;	el-GR	062	3. What do we celebrate on October 28th?	Ochi Day	Ημέρα Όχι
el-GR_063	4. Ποιος έχει γράψει το εθνικο ύμνο (Ύμνος εἰς τὴν Ἐλευθερίαν);	el-GR	063	4. Who wrote the national anthem (Hymn to Liberty)?	Dionysios Solomos	Διονύσιος Σολωμός
el-GR_064	5. Ποια ελληνικη πόλη λέγεται και “συμπρωτεύουσα”;	el-GR	064	5. Which Greek city is also known as the "co-capital"?	Thessaloniki	Θεσσαλονίκη
fa-IR_065	دین رسمی ایران چیست؟	fa-IR	065	What is the official religion of Iran?	Shia Islam	اسلام شیعه
fa-IR_066	پایتخت ایران کجا است؟	fa-IR	066	Where is the capital of Iran?	Tehran	تهران
fa-IR_067	چه رنگ هایی در پرچم ایران وجود دارد؟	fa-IR	067	What colors are featured on the flag of Iran?	Green White Red	سبز سفید قرمز
fa-IR_068	کدام یک از این کشور ها همسایه ایران است؟	fa-IR	068	Which of these countries is a neighbor of Iran?	Afghanistan Armenia Azerbaijan Turkey Turkmenistan	افغانستان ارمنستان آذربایجان ترکیه ترکمنستان
fa-IR_069	زبان رایج در ایران چیست؟	fa-IR	069	What is the common language in Iran?	Farsi	فارسی
ar-EG_070	أى من المحافظات المصرية الآتية معروفة بزراعة المانجو؟	ar-EG	070	Which of the following Egyptian governorates is known for mango cultivation?	Sohag	سوهاج
ar-EG_071	من هو أشهر محترف مصري في الدوري الإنجليزي؟	ar-EG	071	Who is the most famous Egyptian professional in the English Premier League?	Mohamed Salah	محمد صلاح
ar-EG_072	ما هو اسم الهرم الأكبر؟	ar-EG	072	What is the name of the Great Pyramid?	The Great Pyramid of Giza	الهرم الأكبر في الجيزة
ar-EG_073	ما اسم أشهر منطقة قاهرية معروفة ببيع الهدايا التذكارية؟	ar-EG	073	What is the name of the most famous Cairo area known for selling souvenirs?	Khan el Khalili	خان الخليلي
ar-EG_074	في أي يوم من شهر أكتوبر دخلت مصر أشهر حرب في تاريخها الحديث؟	ar-EG	074	On which day of October did Egypt enter the most famous war in its modern history?	October 6	6 أكتوبر
ar-EG_075	ما هو اسم اللغة المصرية القديمة؟	ar-EG	075	What is the name of the ancient Egyptian language?	Ancient Egyptian language is called Medu Netcher	تُسمى اللغة المصرية القديمة ميدو نتشير
ar-EG_076	ما هى أسماء البحرين اللذين تطل عليهم مصر؟	ar-EG	076	What are the names of the two Bahrains that Egypt overlooks?	The Red Sea and the Mediterranean Sea	البحر الأحمر والبحر الأبيض المتوسط
ar-MA_077	. ما هي عاصمة المغرب؟	ar-MA	077	What is the capital of Morocco?	Rabat	الرباط
ar-MA_078	٢. ما هي العملة الرسمية للمغرب؟	ar-MA	078	2. What is the official currency of Morocco?	Moroccan Dirham	درهم مغربي
ar-MA_079	"٣. أي مدينة مغربية تشتهر بلقب ""المدينة الزرقاء""؟"	ar-MA	079	3. Which Moroccan city is famous for being known as the "Blue City"?	Chefchaouen	شفشاون
ar-MA_080	٤. ما هو المشروب الوطني الأكثر شعبية في المغرب ويُقدَّم كرمز للضيافة؟	ar-MA	080	4. What is the most popular national drink in Morocco, served as a symbol of hospitality?	Atay	أتاي
ar-MA_081	٥. ما اسم السلسلة الجبلية الرئيسية التي تمتد عبر المغرب؟	ar-MA	081	5. What is the name of the main mountain range that stretches across Morocco?	Atlas Mountains	جبال الأطلس
ar-MA_082	٦. أي من هذه الأطباق هو طبق مغربي تقليدي يتكون من السميد ويُقدَّم غالبًا مع اللحم والخضروات؟	ar-MA	082	6. Which of these dishes is a traditional Moroccan dish made from semolina and often served with meat and vegetables?	Couscous	كسكسي
ar-MA_083	٧. ما هو المصطلح الذي يطلق على السوق التقليدي في المغرب؟	ar-MA	083	7. What is the term used for the traditional market in Morocco?	Souk	سوق
ar-SA_084	١- أي من مناطق المملكة العربية السعودية مشهورة بزراعة المانجو خلال فصل الصيف؟	ar-SA	084	1- Which regions in the Kingdom of Saudi Arabia are famous for mango cultivation during the summer season?	Jazan and Najran	جازان ونجران
ar-SA_085	٢- من هو الفنان الملقب بفنان العرب بالمملكة العربية السعودية؟	ar-SA	085	2- Who is the artist known as the "Artist of the Arabs" in the Kingdom of Saudi Arabia?	Faisal Bin Fahd	فيصل بن فهد
ar-SA_086	٣- ما هو اليوم الذي تحتفل فيه المملكة العربية السعودية بالتأسيس (يوم التأسيس السعودي)؟	ar-SA	086	3- What is the day on which the Kingdom of Saudi Arabia celebrates its founding (Saudi Founding Day)?	September 23	23 سبتمبر
ar-SA_087	٤- ما هو اليوم الوطني السنوي الذي تحتفل فيه المملكة العربية السعودية؟	ar-SA	087	4. What is the annual national day celebrated by the Kingdom of Saudi Arabia?	National Day	اليوم الوطني
ar-SA_088	٥- من هو أفضل لاعب سعودي حاليا بنادي الهلال السعودي؟	ar-SA	088	5- Who is the best Saudi player currently at Al-Hilal Saudi Club?	Salem Al-Dawsari	سالم الدوسري
ar-SA_089	٦- في أي مدينة يقع قصر المصمك التاريخي؟	ar-SA	089	6. In which city is the historic Masmak Fortress located?	Riyadh	الرياض
ar-SA_090	٧- ما هي المدينة المشهورة بزراعة وتجارة الورد في المملكة العربية السعودية؟	ar-SA	090	7- Which city is famous for rose cultivation and trade in the Kingdom of Saudi Arabia?	Taif	الطائف
en-AU_091	What are 3 things every Australian town had when it was first formed?	en-AU	091	What are 3 things every Australian town had when it was first formed?	Pub Hotel Post Office	Pub Hotel Post Office
en-AU_092	What footy team would Bob barrack for if his grandfather lived in Fitzroy?	en-AU	092	What footy team would Bob barrack for if his grandfather lived in Fitzroy?	Collingwood	Collingwood
en-AU_093	Where did the first fleet arrive in Australia?	en-AU	093	Where did the first fleet arrive in Australia?	Botany Bay	Botany Bay
en-AU_094	What is a common four-word Australian phrase?	en-AU	094	What is a common four-word Australian phrase?	Fair Dinkum Mate	Fair Dinkum Mate
en-AU_095	What is the most famous Australian film?/ Film that introduced Australian culture to a general audience?	en-AU	095	What is the most famous Australian film?/ Film that introduced Australian culture to a general audience?	Crocodile Dundee	Crocodile Dundee
en-AU_096	Who was the most loved Australian prime minister?	en-AU	096	Who was the most loved Australian prime minister?	Bob Hawke	Bob Hawke
en-AU_097	What do Australians need to do to prevent fires in summer?	en-AU	097	What do Australians need to do to prevent fires in summer?	Prepare for bushfires by clearing flammable materials around homes and buildings keep an eye on weather conditions and follow total fire bans if necessary	Prepare for bushfires by clearing flammable materials around homes and buildings keep an eye on weather conditions and follow total fire bans if necessary
eu-ES_098	Zein da Euskal Herriko janari azkar tradizional tipikoena?	eu-ES	098	What is the most typical traditional fast food of the Basque Country?	Pintxos	Pintxoak
eu-ES_099	Zein da Euskal Herriko kirol tradizional ezagunena?	eu-ES	099	What is the most popular traditional sport in the Basque Country?	Pelota	Pelota
eu-ES_100	Zein da Euskal Herriko kirolik jarraituena?	eu-ES	100	What is the most followed sport in the Basque Country?	Pelota	Pelota
eu-ES_101	Zein da Euskal Herriko dantza tradizional ezagunena?	eu-ES	101	What is the most famous traditional dance of the Basque Country?	Aurresku	Aurresku
eu-ES_102	Tradizionalki, zer erabili dute gizonek burua estaltzeko Euskal Herrian?	eu-ES	102	Traditionally, what have men used to cover their heads in the Basque Country?	Berets	Beretak
eu-ES_103	Nola deitzen da Euskal Herriko poesia inprobisatua?	eu-ES	103	What is improvised poetry from the Basque Country called?	Aurresku	Aurresku
eu-ES_104	Zein da Euskal Herrian bertako hizkuntzan idatzia den egunkari ezagunena?	eu-ES	104	What is the most popular newspaper written in the local language in the Basque Country?	Euskadi Já	Euskadi Já
fr-FR_105	Que ferai-je avec cette alouette?	fr-FR	105	What will I do with this lark?	Manger	Manger
fr-FR_106	De quelle couleur sont tous les chats la nuit ?	fr-FR	106	What color are all cats at night?	Noir	Noir
fr-FR_107	Que sert-on habituellement avec une côte de bœuf ?	fr-FR	107	What is usually served with a beef rib?	Mashed potatoes	Purée de pommes de terre
fr-FR_108	Que font en premier les canards en sortant de l'eau ?	fr-FR	108	What do ducks do first when they come out of the water?	They shake their feathers	Ils secouent leurs plumes
fr-FR_109	Qu'est ce qu'une chocolatine ?	fr-FR	109	What is a chocolatine?	Pain au chocolat	Pain au chocolat
fr-FR_110	Cette année-là, je chantais...	fr-FR	110	That year, I was singing...	Edith Piaf	Edith Piaf
fr-FR_111	Quel fromage mange-t-on le plus souvent chaud avec une salade ?	fr-FR	111	Which cheese do we most often eat hot with a salad?	Camembert	Camembert
fr-FR_112	Quel fruit change de nom lorsqu'il est séché ?	fr-FR	112	Which fruit changes its name when it’s dried?	Apricot	Abricot
ga-IE_113	Is minic a thugtar ar Éirinn:	ga-IE	113	Ireland is often referred to as:	Emerald Isle	Emerald Isle
ga-IE_114	Cé acu duine atá cáiliúil as a ról i gCath Chluain Tarbh?	ga-IE	114	Who is famous for their role in the Battle of Clontarf?	Brian Boru	Brian Boru
ga-IE_115	Cé acu duine is dornálaí Éireannach cáiliúil?	ga-IE	115	Which is the famous Irish boxer?	Michael Collins	Michael Collins
ga-IE_116	Cén spórt a bhaineann leis na “Sé Náisiún”?	ga-IE	116	Which sport is associated with the "Six Nations"?	Rugby	Rugby
ga-IE_117	Cé acu de na cainéal teilifíse Éireannach seo a leanas?	ga-IE	117	Which of these Irish television channels are you following?	RTE RTÉ Two TG4	RTE RTÉ Two TG4
ga-IE_118	Cén chúige ina bhfuil príomhchathair na hÉireann suite?	ga-IE	118	Which province is the capital of Ireland located in?	Leinster	Leinster
ga-IE_119	Cá mbíonn cluichí ceannais na hÉireann a imrítear de ghnáth don iománaíocht agus don pheil Ghaelach?	ga-IE	119	Where are the All-Ireland finals typically played for hurling and Gaelic football?	Croke Park	Croke Park
ta-LK_120	இலங்கையின் தற்போதைய ஜனாதிபதி யார்?	ta-LK	120	Who is the current president of Sri Lanka?	Gotabaya Rajapaksa	கோதபய ராஜபக்ச
ta-LK_121	இலங்கையில் மிக உயரமான கட்டிடம் எது?	ta-LK	121	What is the tallest building in Sri Lanka?	WTC Twin Towers Colombo	டபிள்யூடிசி டவர் கொழும்பு
ta-LK_122	பெரஹேரா (Perahera) விழாவில் முக்கியமாக பங்கேற்கும் விலங்கு எது?	ta-LK	122	Which animal primarily participates in the Perahera festival?	Elephant	யானை
ta-LK_123	புகழ்பெற்ற டளடா மாளிகை (Temple of the Tooth) இலங்கையின் எந்த மாகாணத்தில் உள்ளது?	ta-LK	123	In which province of Sri Lanka is the famous Temple of the Tooth located?	Central Province	மத்திய மாகாணம்
ta-LK_124	இலங்கை தேசியக்கொடியில் காணப்படும் விலங்கு எது?	ta-LK	124	Which animal is featured on the Sri Lankan national flag?	Lion	சிங்கம்
ta-LK_125	2004 டிசம்பரில் இலங்கையில் ஏற்பட்ட பெரும் சேதமும் உயிரிழப்பும் ஏற்படுத்திய இயற்கை பேரழிவு எது?	ta-LK	125	What was the natural disaster that caused massive destruction and loss of life in Sri Lanka in December 2004?	Tsunami	சுனாமி
ta-LK_126	இலங்கையின் வர்த்தக தலைநகரம் எது?	ta-LK	126	What is Sri Lanka's commercial capital?	Colombo	கொழும்பு
tl-PH_127	Ano ang tawag sa tradisyunal na damit ng kalalakihan sa Pilipinas na karaniwang isinusuot sa pormal na okasyon?	tl-PH	127	What is the traditional attire for men in the Philippines that is typically worn during formal occasions?	Barong Tagalog	Barong Tagalog
tl-PH_128	Alin sa mga sumusunod ang pangunahing sangkap ng adobo?	tl-PH	128	Which of the following is the main ingredient of adobo?	Chicken	Manok
tl-PH_129	Ano ang tawag sa tradisyunal na sayaw kung saan gumagamit ng kawayan?	tl-PH	129	What is the traditional dance called that uses bamboo?	Tinik	Tinik
tl-PH_130	Sino ang tinaguriang pambansang bayani ng Pilipinas?	tl-PH	130	Who is known as the national hero of the Philippines?	Emilio Aguinaldo	Emilio Aguinaldo
tl-PH_131	Alin sa mga sumusunod ang isang halimbawa ng harana?	tl-PH	131	Which of the following is an example of a serenade?	Kundiman	Kundiman
tl-PH_132	Aling buwan karaniwang ginaganap ang Buwan ng Wika sa Pilipinas?	tl-PH	132	Which month is Language Month typically held in the Philippines?	August	Agosto
tl-PH_133	Anong tawag sa maliliit na lokal na government unit o komunidad sa Pilipinas na pinamumunuan ng kapitan?	tl-PH	133	What is the term for small local government units or communities in the Philippines that are headed by a captain?	Barangay	Barangay
tl-PH_134	Ano ang tradisyon ng mga Pilipino tuwing gabi ng Pasko kung saan dumadalo sa misa mula Disyembre 16 hanggang 24?	tl-PH	134	What is the Filipino tradition during Christmas Eve, where people attend mass from December 16 to 24?	Simbang Gabi	Simbang Gabi
bg-BG_135	Коя е столицата на България?	bg-BG	135	What is the capital of Bulgaria?	Sofia	София
bg-BG_136	Кой е националният празник на България?	bg-BG	136	What is Bulgaria's national holiday?	September 22nd	22 септември
bg-BG_137	Как се казва българската азбука?	bg-BG	137	What is the name of the Bulgarian alphabet?	Cyrillic	Кирилица
bg-BG_138	Кой български революционер е известен като Апостола на свободата?	bg-BG	138	Which Bulgarian revolutionary is known as the Apostle of Freedom?	Vasil Levski	Васил Левски
bg-BG_139	Какво празнуваме на 24 май?	bg-BG	139	What do we celebrate on May 24?	National Awakening Day	Ден на националното събуждане
bg-BG_140	Кой е авторът на романа „Под игото“?	bg-BG	140	Who is the author of the novel "Under the Yoke"?	Ivan Vazov	Иван Вазов
bg-BG_141	Кое ястие е традиционно българско?	bg-BG	141	Which dish is traditionally Bulgarian?	Shopska salad	Шопска салата
ja-JP_142	日本の2025年現在の年号は何ですか？	ja-JP	142	What is Japan's current year in the Japanese calendar as of 2025?	Heisei 28	平成28年
ja-JP_143	日本の一般的な朝ごはんといえばどれでしょう？	ja-JP	143	Which one would you say is the typical Japanese breakfast?	Rice bowl with grilled fish and miso soup	焼き魚と味噌汁の入った丼
ja-JP_144	東京のシンボルといえばどれでしょう?	ja-JP	144	Which one would you say is Tokyo's symbol?	Tokyo Tower	東京タワー
ja-JP_145	東京で最も頭の良い私立大学はどこでしょう？	ja-JP	145	Which is the smartest private university in Tokyo?	Waseda University	早稲田大学
ja-JP_146	日本人が慣れ親しんだスポーツ飲料は？	ja-JP	146	What is the sports drink that Japanese people are familiar with?	Pocari Sweat	ポカリスエット
ja-JP_147	日本のお茶といえば？	ja-JP	147	What comes to mind when you think of Japanese tea?	Matcha	抹茶
ja-JP_148	コンビニで売ってないもの	ja-JP	148	Things you can't buy at convenience stores	Fresh food meat fish eggs dairy products clothing shoes electronics bulky items	新鮮な食品、肉、魚、卵、乳製品、衣料品、靴、電子機器、かさばるアイテム
