id	question
ms-SG_001	Apakah akronim lazim untuk flat perumahan awam di mana majoriti rakyat Singapura tinggal?
ms-SG_002	Parti politik manakah yang telah menjadi parti pemerintah Singapura sejak tahun 1959?
ms-SG_003	Apakah maskot rasmi Singapura, iaitu makhluk mitos berkepala singa dan berbadan ikan?
ms-SG_004	Apakah nama lapangan terbang antarabangsa utama Singapura, yang sering diundi sebagai salah sebuah lapangan terbang yang terbaik di dunia?
ms-SG_005	Singapura menyambut Hari Kebangsaan setiap tahun pada bulan apa?
ms-SG_006	"Pusat kesenian ikonik Singapura manakah yang lebih dikenali sebagai ""durian besar""?"
ms-SG_007	Apakah mata wang rasmi Singapura?
ta-SG_008	சிங்கப்பூரர்களில் பெரும்பாலோர் வசிக்கும் பொது வீடுகளின் பொதுவான சுருக்கம் சொல் என்ன?
ta-SG_009	1959ஆம் ஆண்டிலிருந்து சிங்கப்பூரின் ஆளுங்கட்சியாக இருக்கும் அரசியல் கட்சி எது?
ta-SG_010	சிங்கத்தின் தலையும் மீனின் உடலும் கொண்ட ஒரு புராண உயிரினமான சிங்கப்பூரின் அதிகாரப்பூர்வ சின்னம் எது?
ta-SG_011	உலகத்தில் ஆக சிறந்த விமான நிலையங்களில் ஒன்றாக அடிக்கடி வாகளிக்கபடும் சிங்கப்பூரின் முதன்மையான சர்வதேச விமான நிலையத்தின் பெயர் என்ன?
ta-SG_012	சிங்கப்பூர் ஒவ்வோர் ஆண்டும் எந்த மாதத்தில் தங்களது தேசிய தினத்தைக் கொண்டாடுகிறது?
ta-SG_013	பெரிய டூரியான்கள்' என்று பேச்சுவழக்கில் அழைக்கப்படும்  சிங்கப்பூரின் சின்னமான கலை மையத்தின் பெயர் என்ன?
ta-SG_014	சிங்கப்பூரின் அதிகாரப்பூர்வ நாணயம் எது?
zh-SG_015	新加坡大多数国民居住的公共住房的通用简称是什么？
zh-SG_016	自1959年以来，哪个政党一直是新加坡的执政党？
zh-SG_017	新加坡的官方吉祥物是什么？它是一个狮头鱼身的神秘生物。
zh-SG_018	新加坡主要的国际机场是哪个？它经常被评为世界最佳机场之一。
zh-SG_019	新加坡每年的国庆日在几月份？
zh-SG_020	新加坡哪个标志性的艺术中心被俗称为“大榴莲”？
zh-SG_021	新加坡的官方货币是什么？
es-EC_022	¿Cuál es la ciudad más poblada de Ecuador?
es-EC_023	¿Cuántas provincias tiene Ecuador?
es-EC_024	¿Cuál es el punto más alto de Ecuador y el más cercano al espacio exterior?
es-EC_025	¿Qué nombre recibe Ecuador por su diversidad geográfica y cultural?
es-EC_026	¿Cuál es la moneda oficial de Ecuador desde el año 2000?
es-EC_027	¿Qué lugar ecuatoriano es famoso por su biodiversidad y por haber inspirado la teoría de la evolución de Charles Darwin?
es-EC_028	¿Qué ciudad ecuatoriana fue declarada Patrimonio Cultural de la Humanidad por la UNESCO en 1978?
es-EC_029	¿Qué deportista ecuatoriano ganó la primera medalla olímpica de oro para el país?
en-GB_030	Which of these family holiday destinations is located in Cumbria?
en-GB_031	What is the name of Prince Harry’s wife?
en-GB_032	Which kids show has a blue boat as its symbol?
en-GB_033	In which TV show would you expect to find Daleks and Cybermen?
en-GB_034	Which significant historical event took place in 1066?
zh-CN_035	1. 中国的国庆节是哪一天？
zh-CN_036	2. 哪个动物被称为中国“国宝”？
zh-CN_037	3. 中国的首都是哪个城市？
zh-CN_038	4. 中国的“端午节”通常是为了纪念哪位古代文学家？
zh-CN_039	5. 中国的“母亲河”是哪条河流？
es-ES_040	¿Quién es el presidente de España?
es-ES_041	¿Cuál es el deporte más popular en España?
es-ES_042	¿Cuál es la obra literaria española más reconocida internacionalmente?
es-ES_043	¿Por qué monumento romano es conocida la ciudad de Segovia?
es-ES_044	¿Dónde se celebraron los Juegos Olímpicos de 1992 en España?
es-MX_045	¿Cuáles son los colores de la bandera del país?
es-MX_046	¿Quién fue el autor del himno nacional?
es-MX_047	¿Cuál es la capital del país?
es-MX_048	¿Quién es el presidente del país?
es-MX_049	¿Cual es la comida callejera más típica en el país?
id-ID_050	Siapa presiden pertama Indonesia?
id-ID_051	Pada tanggal berapa Indonesia memproklamasikan kemerdekaan?
id-ID_052	Apa sebutan untuk kebiasaan masyarakat pulang ke kampung halamannya dalam rangka merayakan hari besar (seperti Idul Fitri, Natal, atau Tahun Baru Imlek)?
id-ID_053	Apa nama minimarket yang umum ditemukan di banyak tempat di Indonesia?
id-ID_054	Apa nama acara pengibaran bendera yang secara rutin diikuti oleh siswa atau pegawai negeri?
ko-KR_055	한국에서 ‘소풍'하면 떠오르는 대표적인 간식/음식은?
ko-KR_056	한국의 대표적인 전통 놀이가 아닌 것은?
ko-KR_057	한국 전래동화 속 나쁜 사람은?
ko-KR_058	한국에서 이삿날 먹는 음식으로 유명한 것은?
ko-KR_059	한국에서 고시 공부를 하는 사람들이 주로 모여 사는 지역은?
el-GR_060	1. Ποιος είναι ο πρωθυπουργός της Ελλάδας
el-GR_061	2. Ποιο είναι το πιο εμβληματικό αξιοθέατο στην καρδιά της Αθήνας και λειτουργεί ως σύμβολο της Ελλάδας;
el-GR_062	3. Τι γιορταζουμε την 28η Οκτωβρίου;
el-GR_063	4. Ποιος έχει γράψει το εθνικο ύμνο (Ύμνος εἰς τὴν Ἐλευθερίαν);
el-GR_064	5. Ποια ελληνικη πόλη λέγεται και “συμπρωτεύουσα”;
fa-IR_065	دین رسمی ایران چیست؟
fa-IR_066	پایتخت ایران کجا است؟
fa-IR_067	چه رنگ هایی در پرچم ایران وجود دارد؟
fa-IR_068	کدام یک از این کشور ها همسایه ایران است؟
fa-IR_069	زبان رایج در ایران چیست؟
ar-EG_070	أى من المحافظات المصرية الآتية معروفة بزراعة المانجو؟
ar-EG_071	من هو أشهر محترف مصري في الدوري الإنجليزي؟
ar-EG_072	ما هو اسم الهرم الأكبر؟
ar-EG_073	ما اسم أشهر منطقة قاهرية معروفة ببيع الهدايا التذكارية؟
ar-EG_074	في أي يوم من شهر أكتوبر دخلت مصر أشهر حرب في تاريخها الحديث؟
ar-EG_075	ما هو اسم اللغة المصرية القديمة؟
ar-EG_076	ما هى أسماء البحرين اللذين تطل عليهم مصر؟
ar-MA_077	. ما هي عاصمة المغرب؟
ar-MA_078	٢. ما هي العملة الرسمية للمغرب؟
ar-MA_079	"٣. أي مدينة مغربية تشتهر بلقب ""المدينة الزرقاء""؟"
ar-MA_080	٤. ما هو المشروب الوطني الأكثر شعبية في المغرب ويُقدَّم كرمز للضيافة؟
ar-MA_081	٥. ما اسم السلسلة الجبلية الرئيسية التي تمتد عبر المغرب؟
ar-MA_082	٦. أي من هذه الأطباق هو طبق مغربي تقليدي يتكون من السميد ويُقدَّم غالبًا مع اللحم والخضروات؟
ar-MA_083	٧. ما هو المصطلح الذي يطلق على السوق التقليدي في المغرب؟
ar-SA_084	١- أي من مناطق المملكة العربية السعودية مشهورة بزراعة المانجو خلال فصل الصيف؟
ar-SA_085	٢- من هو الفنان الملقب بفنان العرب بالمملكة العربية السعودية؟
ar-SA_086	٣- ما هو اليوم الذي تحتفل فيه المملكة العربية السعودية بالتأسيس (يوم التأسيس السعودي)؟
ar-SA_087	٤- ما هو اليوم الوطني السنوي الذي تحتفل فيه المملكة العربية السعودية؟
ar-SA_088	٥- من هو أفضل لاعب سعودي حاليا بنادي الهلال السعودي؟
ar-SA_089	٦- في أي مدينة يقع قصر المصمك التاريخي؟
ar-SA_090	٧- ما هي المدينة المشهورة بزراعة وتجارة الورد في المملكة العربية السعودية؟
en-AU_091	What are 3 things every Australian town had when it was first formed?
en-AU_092	What footy team would Bob barrack for if his grandfather lived in Fitzroy?
en-AU_093	Where did the first fleet arrive in Australia?
en-AU_094	What is a common four-word Australian phrase?
en-AU_095	What is the most famous Australian film?/ Film that introduced Australian culture to a general audience?
en-AU_096	Who was the most loved Australian prime minister?
en-AU_097	What do Australians need to do to prevent fires in summer?
eu-ES_098	Zein da Euskal Herriko janari azkar tradizional tipikoena?
eu-ES_099	Zein da Euskal Herriko kirol tradizional ezagunena?
eu-ES_100	Zein da Euskal Herriko kirolik jarraituena?
eu-ES_101	Zein da Euskal Herriko dantza tradizional ezagunena?
eu-ES_102	Tradizionalki, zer erabili dute gizonek burua estaltzeko Euskal Herrian?
eu-ES_103	Nola deitzen da Euskal Herriko poesia inprobisatua?
eu-ES_104	Zein da Euskal Herrian bertako hizkuntzan idatzia den egunkari ezagunena?
fr-FR_105	Que ferai-je avec cette alouette?
fr-FR_106	De quelle couleur sont tous les chats la nuit ?
fr-FR_107	Que sert-on habituellement avec une côte de bœuf ?
fr-FR_108	Que font en premier les canards en sortant de l'eau ?
fr-FR_109	Qu'est ce qu'une chocolatine ?
fr-FR_110	Cette année-là, je chantais...
fr-FR_111	Quel fromage mange-t-on le plus souvent chaud avec une salade ?
fr-FR_112	Quel fruit change de nom lorsqu'il est séché ?
ga-IE_113	Is minic a thugtar ar Éirinn:
ga-IE_114	Cé acu duine atá cáiliúil as a ról i gCath Chluain Tarbh?
ga-IE_115	Cé acu duine is dornálaí Éireannach cáiliúil?
ga-IE_116	Cén spórt a bhaineann leis na “Sé Náisiún”?
ga-IE_117	Cé acu de na cainéal teilifíse Éireannach seo a leanas?
ga-IE_118	Cén chúige ina bhfuil príomhchathair na hÉireann suite?
ga-IE_119	Cá mbíonn cluichí ceannais na hÉireann a imrítear de ghnáth don iománaíocht agus don pheil Ghaelach?
ta-LK_120	இலங்கையின் தற்போதைய ஜனாதிபதி யார்?
ta-LK_121	இலங்கையில் மிக உயரமான கட்டிடம் எது?
ta-LK_122	பெரஹேரா (Perahera) விழாவில் முக்கியமாக பங்கேற்கும் விலங்கு எது?
ta-LK_123	புகழ்பெற்ற டளடா மாளிகை (Temple of the Tooth) இலங்கையின் எந்த மாகாணத்தில் உள்ளது?
ta-LK_124	இலங்கை தேசியக்கொடியில் காணப்படும் விலங்கு எது?
ta-LK_125	2004 டிசம்பரில் இலங்கையில் ஏற்பட்ட பெரும் சேதமும் உயிரிழப்பும் ஏற்படுத்திய இயற்கை பேரழிவு எது?
ta-LK_126	இலங்கையின் வர்த்தக தலைநகரம் எது?
tl-PH_127	Ano ang tawag sa tradisyunal na damit ng kalalakihan sa Pilipinas na karaniwang isinusuot sa pormal na okasyon?
tl-PH_128	Alin sa mga sumusunod ang pangunahing sangkap ng adobo?
tl-PH_129	Ano ang tawag sa tradisyunal na sayaw kung saan gumagamit ng kawayan?
tl-PH_130	Sino ang tinaguriang pambansang bayani ng Pilipinas?
tl-PH_131	Alin sa mga sumusunod ang isang halimbawa ng harana?
tl-PH_132	Aling buwan karaniwang ginaganap ang Buwan ng Wika sa Pilipinas?
tl-PH_133	Anong tawag sa maliliit na lokal na government unit o komunidad sa Pilipinas na pinamumunuan ng kapitan?
tl-PH_134	Ano ang tradisyon ng mga Pilipino tuwing gabi ng Pasko kung saan dumadalo sa misa mula Disyembre 16 hanggang 24?
bg-BG_135	Коя е столицата на България?
bg-BG_136	Кой е националният празник на България?
bg-BG_137	Как се казва българската азбука?
bg-BG_138	Кой български революционер е известен като Апостола на свободата?
bg-BG_139	Какво празнуваме на 24 май?
bg-BG_140	Кой е авторът на романа „Под игото“?
bg-BG_141	Кое ястие е традиционно българско?
ja-JP_142	日本の2025年現在の年号は何ですか？
ja-JP_143	日本の一般的な朝ごはんといえばどれでしょう？
ja-JP_144	東京のシンボルといえばどれでしょう?
ja-JP_145	東京で最も頭の良い私立大学はどこでしょう？
ja-JP_146	日本人が慣れ親しんだスポーツ飲料は？
ja-JP_147	日本のお茶といえば？
ja-JP_148	コンビニで売ってないもの
